origin_text,random_text,label
今天在上课学到最难的课，我跟别的同学也觉得本来是这样，我的同学不太懂，正好我昨天刚才念这个问题，所以把他不懂的问题再教给他。,今天在上课学到最难得课，我跟别的同学也觉得本来是这样，我的同学不太懂，正好我昨天刚才念这个问题，所以把他不懂的问题再教给他。,0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
下公车的时候，时间快到了，我们只好买吃的东西再马上去电影院。,下公车的时候，时间快到了，我们只好买吃的东西在马上去电影院。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
要是我们上课的时候说话，我的老师说对我们：「现在不必说话！」,要是我们上课的时候说话，我的老师说对我们：「建在不必说话！」,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
下了课我昨天在学校的门口是等我女朋友的，她叫美美。,下了课我昨天在学校的门口事等我女朋友的，她叫美美。,0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
电影叫「ＷＡＬＬ－Ｅ」，我觉得是很可爱的电影。,电影叫「ＷＡＬＬ－Ｅ」，我觉得是很客爱的电影。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
第一个相片儿：这个男人刚起床。,第一个象片儿：这个男人刚起床。,0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
也许今天他上课，还是他上班，我不知道。,也雪今天他上课，还是他上班，我不知道。,0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
他的床很小，是蓝的也是绿的。,他的床很小，是蓝的也是录的。,0 0 0 0 0 0 0 0 0 0 0 1 0 0
第二个相片儿：四个学生都在教室。,第二个象片儿：四个学生都在教室。,0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
第三个相片儿：两个人都坐公共汽车还是昨坐火车。,第三个象片儿：两个人都坐公共汽车还是昨坐火车。,0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
相片儿里面有三张椅子。,象片儿里面有三张椅子。,1 0 0 0 0 0 0 0 0 0 0
第四个相片儿：两个人都看电影。,第四个象片儿：两个人都看点影。,0 0 0 1 0 0 0 0 0 0 0 0 1 0 0
我觉得这些人也在第二个相片儿，也在第三个相片儿。这个男人也在第一个相片儿。这两人是朋友。,我觉得这些人也在第二个象片儿，也在第三个象片儿。这个男人也在第一个象片儿。这两人是朋友。,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
我刚来学校的时候，林美美请我帮她做她的功课。,我纲来学校的时候，林美美请我帮她做她的功课。,0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
下午四点，我跟林小姐去车站，然后坐车到西门去看电影。,下午四点，我跟林小姐去车站，让后坐车到西门去看电影。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
她告诉爱文：如果他在晚上喝酒他的身体一定不太好。,她告诉爱文：如果他在晚上喝酒他的生体一定不太好。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
你的爸爸真的是坏人！他应该不让你喝酒！,你的爸爸真得是坏人！他应该不让你喝酒！,0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
她提议他们五点晚上去电影院看一个新电影．,她提以他们五点晚上去电影院看一个新电影．,0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
因为他的家离学校很远，所以他要早一点起来。,因为大的家里学校很远，所以他要早一点起来。,0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
他总是坐公车去学校。,他从是坐公车去学校。,0 1 0 0 0 0 0 0 0 0
他们看很有趣的电影，因为他看著看著笑起来了。,他们看很有处的电影，因为大看著看著笑起来了。,0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
我最喜欢的科目是数学。,我最喜欢的课目是数学。,0 0 0 0 0 1 0 0 0 0 0
到了学校以后，他跟他的同学一起上数学课。,到了学校一后，他跟他的同学一起上数学科。,0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
他们要看的是美国电影。他们觉得很好看，所以他们看完了以后决定一定要买这个电影的ＤＶＤ了。,他们要看得是美国电影。他们觉得很好看，所以他们看完了以后决定一定要买这个电影的ＤＶＤ了。,0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
他们一起很兴奋地聊聊天，都不关心老师说的话。,他们一起很兴奋得聊聊天，都不关心老师说的话。,0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
所以爱文跟美美找一找空的时间，今天才来很大的电影院。,所以爱文跟美美找一找控的时间，今天才来很大的电影院。,0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
电影真的不错，可是美美睡了半个小时，所以内容都不清楚。,电影真的不错，可是美美睡了半个小时，所以内容懂不清楚。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
老师就给他两张电影票，要他请一个朋友一起去看。,老师就给他两张电影票，要他请一个朋友谊起去看。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
因为她也想看这部电影，所以她马上就回答我：「好啊，我也想看这部电影。」我们下了课就搭公车去西门町。,因为她也想看这部电影，所以她马上就回答我：「好啊，我也想看这部电影。」我们下了课就打公车去西门町。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
买了票就进去看电影，看完了我们都觉得这部电影很好看也很好笑，我们很喜欢。,买了票就近去看电影，看完了我们都觉得这部电影很好看也很好笑，我们很喜欢。,0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
因为我们看电影看到很晚，女生一个人回家不太好，所以我去送林美美回家我才回家。,因为我们看电影看到很晚，女生一个人回家不太好，所以我去送林美妹回家我才回家。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
下了课以后，他跟文美常常见面。因为文美是他的好朋友。,下了课以后，他跟文美常常见面。应为文美是他的好朋友。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
他们都很喜欢看有意思的电影。,他们都很喜欢看唷意思的电影。,0 0 0 0 0 0 0 1 0 0 0 0 0 0
我从日本会把一个礼物买送给你。,我从日本会把一个礼物买从给你。,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
本来我打算去你的公司参加，可是后来我的家有问题，所以我不能去了。,本来我打算去你的公司蔘加，可是后来我的家有问题，所以我不能去了。,0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
所以恐怕我不能参加你的派对，对不起啊！,所以恐怕我不能参加你的怕对，对不起啊！,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
可是下个礼拜如果你有空我想再开一个好吧？,可是下个礼拜如果你有空我想再开一个好把？,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
我妈妈生病了所以我得去看他。,我妈妈伤病了所以我得去看他。,0 0 0 1 0 0 0 0 0 0 0 0 0 0
恭喜恭喜！你找到工作，我们也很高兴。,恭喜恭喜！你找到工作，我门也很高兴。,0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
我知道了，以前你没工作的时候心情不好。,我知道了，以前你没工作的时候兴起不好。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
我听说你要开一个庆祝庆祝的会，可是那天我有一件很重要的事情一定不能参加。,我听说你要开一个庆祝庆祝地会，可是那天我有一件很重要的事情一定不能参加。,0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
下个星期我想你跟我一起去一家非常有名的饭店，如果我们在饭店外面吃，我们可以看到一个漂漂亮亮的风景。,下个星期我想你跟我一起去一家非常有名的饭店，如果我们在饭店外面吃，我们可以看到一个漂漂亮亮地风景。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
我考完试以后、再庆祝一次吧！,我考完试以后、再庆祝一次把！,0 0 0 0 0 0 0 0 0 0 0 0 1 0
要是你有空，我们找个时间聊吧！,要是你有空，我们找的时间聊吧！,0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
因为庆祝会那天是我妈妈的生日。我要去乡下见妈妈。,因为庆祝会那天是我妈妈的生日。我要去乡下间妈妈。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
我就要参加你的会，可是那个天我跟我的妈妈和爸爸要去美国看见我的弟弟。,我就要参家你的会，可是那个天我跟我的妈妈和爸爸要去美因看见我的弟弟。,0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
我们打算很久要去看他，所以我不可能参加你的会。,我门打篹很久要去看他，所以我不可能参家你的会。,0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
你请我去你的舞会以前，我原来要去跟你们庆祝庆祝，一定很好玩。,你请我去你的无会以前，我原来要去跟你们静祝静竹，一定很好玩。,0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0
因为我不能，所以我准备小礼物，请我的朋友送给你。希望你喜欢。,因为我不能，所以我准备小礼物，解我的朋友送给你。希望你喜欢。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
你的日子都好吗？我很高兴你找到了工作啊！,你的日字都好吗？我很高兴你找到了工作啊！,0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
我当然去了看医生，他说没什么关系，我只需要休息一下。,我但然去了看医生，他说没什么关系，我只需要休息一下。,0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
妳的朋友，张爱文。,妳的朋友，障爱文。,0 0 0 0 0 1 0 0 0
我本来想要跟你一起去，可是最近我想得起来我应该做一件很重要事，所以对不起我一定不能跟你一起去。,我本来想要跟你一起去，可是最近我想得起来我应该做一件很重要事，所以对不起我已定不能跟你一起去。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
我知道有的我们的我们的朋友可以跟你一起去，我可以帮你问他们要是他们有空跟你一起去你要工作的地方。,我知道有的我们的我们的朋友可以跟你一起去，我可以帮你问他们澳是他们有空跟你一起去你要工作的地方。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
我很愿意参加可是庆祝会的时候我们的公司有一个重要的事。,我很愿意参加可是庆祝会的时候我们的公司有一个重要的是。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
张爱文对她很好，因为她们都是好朋友。,长爱文对她很好，因为她们都是好朋友。,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
张爱文也高兴得很：「恭喜，恭喜！我也想去，可是我准备考试，最近有点忙，我打算著写一些功课，所以我明天不知道能不能参加。,长爱文也高兴得很：「恭喜，恭喜！我也想去，可是我准备考试，最近有点茫，我打算者写一些工课，所以我明天不知道能不能参加。,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
我觉得你可以请一些我们同学来玩，好不好？我快要有一些礼物送给你。,我觉得你可以请一些我们同学来玩，好不好？我快要有一些理物送给你。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
我昨天下了课以后，就马上回家、洗脸，然后打算自己做饭。,我昨天下了课以后，就马上回家、洗脸，延后打算自己做饭。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
我很著急和问她得吃药吗？她说不必吃药，可是应该多吃一点水果、多喝一点。,我很著急合问她得吃药吗？她说不必吃药，可是应该多吃一点水果、多喝一点。,0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
我真的很高兴你已经找到了一份工作了。,我真的恨高兴你已经找到了一份工作了。,0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
他屋子的颜色比较奇怪，跟一个医院差不多一样。,他屋子的颜色比较奇怪，跟一个医院差不多一让。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
张大林是一个很好的学生，他又用功又聪明。他常常帮别的学生的忙。,张大林是一个很好的学生，他又用功又聪明。他常常帮别的学生的芒。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
今天没有那么多功课，所以他打算叫小美美跟他一起去电影院。,今天没有那么多功课，所以他打算叫小妹妹跟他一起去电影院。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0
回家的时候他们坐公车，张大林站著站著，然后就问她。,回家的时候他们坐公车，张大林站著沾著，然后就问她。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
下课以后他跟女朋友上公车到别的地方去。公车里没有坐的地方所以他们得站著去。,下课以后他跟怒朋友上公车到别的地方去。公车理没有坐的地方所以他们得站著去。,0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
小明的女朋友觉得这个电影很有趣，他觉得这个电影里的人都很可爱。可是小明觉得有一点长，那么长他睡著了。,小明的女朋友觉得这个电影很有趣，他觉得这个电影里的人都很可爱。可是下明觉得有一点长，那么长他睡著了。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
上课的时候，老师问学生很难懂的问题。,上课的时候，老师文学生很难懂地问题。,0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0
因为爱美是文德的最爱的朋友，所以他请她吃饭以后去看一部电影。,因为爱美是文德的最爱的朋友，所以他清她吃饭以后去看一部电影。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
他喜欢穿蓝色的睡衣、戴著眼镜。,他喜欢穿蓝色的睡衣、戴著眼睛。,0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
小小说她很想跟他一起看电影，可是她有很多功课她还没做所以她的父母今天可能不被她出去。,小小说她很想跟他一起看电影，可是她有很多功课她还没作所以她的父母今天可能不被她出去。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
下课以后我跟朋友一起坐公车，我们看电影。,下课以后我跟朋友一起座公车，我们看电影。,0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
他每天每天起床六点半因为他的家离大学很远，可是他很用功所以他觉得每天很早起床让她太累。,他每天每天起床六点半因为他的家离大学很远，可是他很用空所以他觉得每天很早起床让她太累。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
他有一个女朋友叫美美。他们今天打算一起去看电影。,他有一个女朋友叫美美。他们今天打篹一起去看电影。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
美美要看外国电影，所以文德买票给她。,每每要看外国电影，所以文德买票给她。,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
我今天早上六点半起来了。,我今天早上六点办起来了。,0 0 0 0 0 0 0 1 0 0 0 0
小美跟我一样大，可是站起来的时候我比她高。,小美跟我一样大，可是沾起来的时候我比她高。,0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
下了课我们常常一起坐公车。今天我们也一块去了。,下了课我们常常以起坐公车。今天我们也以块去了。,0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
现在早上六点半，这个男孩子在起床呢。,现在早上六点半，这个男孩子再起床呢。,0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
上课的时候有一个学生不懂在黑板写的东西，他的同学把这些东西教他。,上课的时候有一个学生不懂再黑板写的东西，他的同学把这些东西教他。,0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
他的好朋友叫文得，他们常常下课以后一起去看电影。,他的好朋友叫文得，他们常常下可以后一起去看电影。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
医生跟他说：你一定最少每个星期运动两次，要不然你的身体不舒服，你的头会容易疼。,医生跟他说：你一定最少每个星期运动两次，要不然你的身体不输服，你的头会容易疼。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
今天他很累，不过有几个很重要的考试，他非及格不可。,今天他很哩，不过有几个很重要的考试，他非及格不可。,0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
其实碰到困难的时候同学总是请他帮他们写功课，下课以后常常把学校的事一起讨论。,其是碰到困难的时候同学总是请他帮他们写功课，下课以后常常把学校的事一起讨论。,0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
他的老师也觉得他还是聪明，鼓励他高中毕业以后在很有名的大学念书。,他的老师也觉的他还是聪明，鼓励他高中毕业以后在很有名的大学念书。,0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
小王今天跟夏美有约会。他很紧张，所以他今天六点半就起床了。,小王今天跟夏美有约会。他很警张，所以他今天六点半就起床了。,0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
他已经跟老师说了他从昨天会开始用功，其实老师不在教室里的话他一直跟同学聊天，坐不住，也不认真。,他已经跟老师说了他从昨天会开始用功，其实老师不在教室里的话他一直跟同学劳天，坐不住，也不认真。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
他们玩得很高兴，小王回来的时候就觉得很累，所以他洗澡了就去睡觉。,他们玩得很高兴，小王回来的时候就觉得很来，所以他洗澡了就去学教。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0
他的班有一位王大明喜欢的人，可是她还不知道：这是王大明的秘密！,他的班有一位王大明喜欢的人，可是她还不知道：这是王大明的米米！,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
看著电影，大明要说给他知道她很喜欢她，所以他现在不要去上课，就要去电影院。,看著电影，大名要说给他知道她很喜欢她，所以他现在不要去上课，就要去电影院。,0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
下课了以后学生都要坐公车回家，在公车上小白坐不下了所以他得站著回家，对他来说很累可是没办法。,下课了以后学生多要做公车回家，在公车上小白坐不下了所以他得站著回家，对他来说很累可是没办法。,0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
他站在公车上站著站著，忽然一个女生叫他在她的椅子坐一下。,他站在公车上站著沾著，忽然一个奴生叫他在她的椅子坐一下。,0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
看了很好看的电影他回家了，可是他被妈妈骂了。,看了很好看的电影他回家了，可是他被妈妈他了。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
可是他觉得没关系因为现在他有女朋友。,可是他觉得没关系因为现在他有奴朋友。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
马英九的中学给学生很多的困难，但马英九觉得没关系。,马英九的中学给学生很他的困难，但马英九觉得没关系。,0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
他们正在还在电影院一边看电影一边聊天，高兴得不得了。,他们正在还在电影院一边看电影一边聊天，高兴的不得了。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
他跟同学在讨论，前面在黑板上有数学的公式。,他跟同学在讨论，前面在黑板上有数学的共识。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
因为我有近视，所以上课的时候就坐在教室的前面，要不然老师写的字都会看不清楚。,因为我有近视，所以上课的时候就座在教室的前面，要不然老师写的字都会看不清楚。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
